============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
Building Cython extensions...
running build_ext
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/base_mcts_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/alphazero_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/guidedrollout_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/ReProver/common_cy.cpython-310-x86_64-linux-gnu.so -> ReProver
Starting training run with distributed environment...
wandb: Currently logged in as: gerbennkoopman to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run v9e1sxr7
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /gpfs/home1/gkoopman/lean_reinforcement/wandb/run-20260115_204921-v9e1sxr7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run dainty-silence-80
wandb: ⭐️ View project at https://wandb.ai/gerbennkoopman-university-of-amsterdam/lean-reinforcement
wandb: 🚀 View run at https://wandb.ai/gerbennkoopman-university-of-amsterdam/lean-reinforcement/runs/v9e1sxr7
2026-01-15 20:49:23.280 | INFO     | lean_reinforcement.training.trainer:_setup_models:56 - Using checkpoint directory: /gpfs/scratch1/shared/lean-reinforcement/checkpoints
2026-01-15 20:49:25.357 | INFO     | lean_reinforcement.agent.value_head:load_checkpoint:192 - Checkpoint loaded from /gpfs/scratch1/shared/lean-reinforcement/checkpoints/value_head_guided_rollout_latest.pth
2026-01-15 20:49:25.358 | INFO     | lean_reinforcement.training.trainer:_setup_models:77 - Resuming training from epoch 1
2026-01-15 20:49:25.359 | INFO     | lean_reinforcement.training.trainer:_log_gpu_memory:122 - After model initialization - GPU Memory: 1.12GB allocated, 1.23GB reserved
2026-01-15 20:49:25.359 | INFO     | lean_reinforcement.training.trainer:_setup_data:87 - Loading data from 'leandojo_benchmark_4/novel_premises'
2026-01-15 20:49:25.359 | INFO     | lean_reinforcement.training.trainer:_setup_data:92 - Loading indexed corpus from /gpfs/scratch1/shared/lean-reinforcement/indexed_corpus/indexed_corpus.pkl
2026-01-15 20:50:10.484 | INFO     | lean_reinforcement.training.trainer:_start_workers:201 - Starting 16 workers
2026-01-15 20:50:10.517 | INFO     | lean_reinforcement.training.trainer:_run_epoch:151 - Starting Epoch 2/128
2026-01-15 20:50:10.581 | INFO     | lean_reinforcement.training.trainer:_run_epoch:162 - Processing 32 theorems with 16 workers.
2026-01-15 20:50:32.531 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Rat.one_den
2026-01-15 20:50:32.818 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:51:26.889 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: AntisymmRel.image
2026-01-15 20:51:27.159 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:51:40.596 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Set.diff_compl
2026-01-15 20:51:40.910 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:51:48.561 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Set.mem_ordConnectedComponent_comm
2026-01-15 20:51:48.848 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:51:59.117 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: simp [den_def]
2026-01-15 20:51:59.181 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='simp made no progress')
2026-01-15 20:51:59.181 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 86.65s.
2026-01-15 20:51:59.181 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='simp made no progress')
2026-01-15 20:51:59.315 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:52:43.533 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: SimpleGraph.incidence_other_prop
2026-01-15 20:52:43.833 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:52:50.367 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: continuous_discrete_rng
2026-01-15 20:52:50.649 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:52:52.830 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: IsOpen.exterior_subset_iff
2026-01-15 20:52:53.130 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:52:56.133 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Submodule.span_induction₂
2026-01-15 20:52:56.439 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:53:06.270 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: CategoryTheory.AdditiveFunctor.forget_map
2026-01-15 20:53:06.557 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:53:08.516 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: CategoryTheory.Preadditive.hasEqualizer_of_hasKernel
2026-01-15 20:53:08.809 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:53:40.023 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: EReal.abs_bot
2026-01-15 20:53:40.342 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:54:24.765 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Ideal.comap_isPrime
2026-01-15 20:54:25.056 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:55:02.458 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: simp [continuous_def]
2026-01-15 20:55:02.527 | SUCCESS  | lean_reinforcement.agent.runner:run:236 - Proof finished in 1 steps and 132.16s.
2026-01-15 20:55:02.660 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:55:05.315 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: IsFractionRing.exists_reduced_fraction
2026-01-15 20:55:05.606 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:55:22.928 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Set.Sized.uvCompression
2026-01-15 20:55:23.227 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:55:28.911 | ERROR    | lean_reinforcement.utilities.gym:reset:49 - Error during environment reset: Timeout during initialization
2026-01-15 20:55:28.944 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:55:28.944 | ERROR    | lean_reinforcement.training.worker:process_theorem:44 - Failed to initialize environment for theorem IsAdjoinRoot.map_self: Timeout during initialization
2026-01-15 20:55:29.546 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Basis.coe_mk
2026-01-15 20:55:29.568 | ERROR    | lean_reinforcement.utilities.gym:reset:49 - Error during environment reset: Timeout during initialization
2026-01-15 20:55:29.602 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:55:29.602 | ERROR    | lean_reinforcement.training.worker:process_theorem:44 - Failed to initialize environment for theorem isPurelyInseparable_iff: Timeout during initialization
2026-01-15 20:55:29.866 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:56:00.498 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: MulPosMono.toMulPosStrictMono
2026-01-15 20:56:00.911 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:56:06.817 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: simp only [OrdConnected.mem_setOf_eq]
2026-01-15 20:56:06.881 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='simp made no progress')
2026-01-15 20:56:06.881 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 258.32s.
2026-01-15 20:56:06.881 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='simp made no progress')
2026-01-15 20:56:07.014 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:57:13.044 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Multiset.prod_hom'
2026-01-15 20:57:13.313 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:57:14.028 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: simp [abs]
2026-01-15 20:57:14.094 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='simp made no progress')
2026-01-15 20:57:14.094 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 214.07s.
2026-01-15 20:57:14.094 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='simp made no progress')
2026-01-15 20:57:14.227 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:57:28.571 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: csSup_inv
2026-01-15 20:57:28.977 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:57:45.099 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: refine Submodule.span_induction ha hb (fun x hx y hy =>?_) add_right
2026-01-15 20:57:45.211 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='type mismatch\n  add_right\nhas type\n  ∀ (x y₁ y₂ : M), p x y₁ → p x y₂ → p x (y₁ + y₂) : Prop\nbut is expected to have type\n  ∀ (x y : M), ?m.740416 x → ?m.740416 y → ?m.740416 (x + y) : Prop')
2026-01-15 20:57:45.211 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 289.08s.
2026-01-15 20:57:45.211 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='type mismatch\n  add_right\nhas type\n  ∀ (x y₁ y₂ : M), p x y₁ → p x y₂ → p x (y₁ + y₂) : Prop\nbut is expected to have type\n  ∀ (x y : M), ?m.740416 x → ?m.740416 y → ?m.740416 (x + y) : Prop')
2026-01-15 20:57:45.346 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:58:12.258 | WARNING  | lean_reinforcement.agent.runner:run:190 - MCTS search returned no action. Stopping.
2026-01-15 20:58:12.258 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 305.99s.
2026-01-15 20:58:12.393 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:58:22.920 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: List.Sublist.refl
2026-01-15 20:58:23.209 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:58:34.640 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Set.Finite.exists_minimal_wrt
2026-01-15 20:58:34.927 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 20:59:05.379 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: rw [hasEqualizer_iff]
2026-01-15 20:59:05.486 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error="tactic 'rewrite' failed, equality or iff proof expected\n  ?m.144117\nC : Type u\ninst✝² : CategoryTheory.Category.{v, u} C\ninst✝¹ : CategoryTheory.Preadditive C\nX Y : C\nf g : X ⟶ Y\ninst✝ : CategoryTheory.Limits.HasKernel (f - g)\n⊢ CategoryTheory.Limits.HasEqualizer f g")
2026-01-15 20:59:05.486 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 356.97s.
2026-01-15 20:59:05.486 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error="tactic 'rewrite' failed, equality or iff proof expected\n  ?m.144117\nC : Type u\ninst✝² : CategoryTheory.Category.{v, u} C\ninst✝¹ : CategoryTheory.Preadditive C\nX Y : C\nf g : X ⟶ Y\ninst✝ : CategoryTheory.Limits.HasKernel (f - g)\n⊢ CategoryTheory.Limits.HasEqualizer f g")
2026-01-15 20:59:05.619 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:59:09.884 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: obtain ⟨y, hy⟩ := IsLocalization.mk'_surjective x
2026-01-15 20:59:09.981 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='typeclass instance problem is stuck, it is often due to metavariables\n  IsLocalization ?m.731687 ?m.731688')
2026-01-15 20:59:09.981 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 244.67s.
2026-01-15 20:59:09.982 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='typeclass instance problem is stuck, it is often due to metavariables\n  IsLocalization ?m.731687 ?m.731688')
2026-01-15 20:59:10.114 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:59:39.487 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: simp [exterior_subset_iff_of_isOpen ht]
2026-01-15 20:59:39.507 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: simpa only [AntisymmRel, le_refl] using h
2026-01-15 20:59:39.551 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='simp made no progress')
2026-01-15 20:59:39.551 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 406.72s.
2026-01-15 20:59:39.551 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='simp made no progress')
2026-01-15 20:59:39.592 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='type mismatch\n  h✝\nhas type\n  a ≤ b ∧ b ≤ a : Prop\nbut is expected to have type\n  f a ≤ f b ∧ f b ≤ f a : Prop')
2026-01-15 20:59:39.592 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 492.70s.
2026-01-15 20:59:39.592 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='type mismatch\n  h✝\nhas type\n  a ≤ b ∧ b ≤ a : Prop\nbut is expected to have type\n  f a ≤ f b ∧ f b ≤ f a : Prop')
2026-01-15 20:59:39.685 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 20:59:39.726 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:00:08.125 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: rw [diff_eq, compl_inter]
2026-01-15 21:00:08.221 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  (?s ∩ ?t)ᶜ\nα : Type u\nβ : Type v\nγ : Type w\nι : Sort x\na b : α\ns s₁ s₂ t t₁ t₂ u : Set α\n⊢ s ∩ tᶜᶜ = s ∩ t")
2026-01-15 21:00:08.221 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 507.63s.
2026-01-15 21:00:08.221 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  (?s ∩ ?t)ᶜ\nα : Type u\nβ : Type v\nγ : Type w\nι : Sort x\na b : α\ns s₁ s₂ t t₁ t₂ u : Set α\n⊢ s ∩ tᶜᶜ = s ∩ t")
2026-01-15 21:00:08.354 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:00:11.540 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: rw [comap_isPrime_iff]
2026-01-15 21:00:11.660 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error="tactic 'rewrite' failed, equality or iff proof expected\n  ?m.75605\nR : Type u\nS : Type v\nF : Type u_1\ninst✝³ : Semiring R\ninst✝² : Semiring S\ninst✝¹ : FunLike F R S\nrc : RingHomClass F R S\nf : F\nI J : Ideal R\nK L : Ideal S\nG : Type u_2\ninst✝ : FunLike G S R\nrcg : RingHomClass G S R\nι : Sort u_3\nH : K.IsPrime\n⊢ (Ideal.comap f K).IsPrime")
2026-01-15 21:00:11.660 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 346.90s.
