============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
Building Cython extensions...
running build_ext
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/base_mcts_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/alphazero_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/guidedrollout_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/ReProver/common_cy.cpython-310-x86_64-linux-gnu.so -> ReProver
Starting training run with distributed environment...
wandb: Currently logged in as: gerbennkoopman to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run niagybp5
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /gpfs/home1/gkoopman/lean_reinforcement/wandb/run-20260116_172304-niagybp5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ruby-valley-85
wandb: ⭐️ View project at https://wandb.ai/gerbennkoopman-university-of-amsterdam/lean-reinforcement
wandb: 🚀 View run at https://wandb.ai/gerbennkoopman-university-of-amsterdam/lean-reinforcement/runs/niagybp5
2026-01-16 17:23:06.491 | INFO     | lean_reinforcement.training.trainer:_setup_models:56 - Using checkpoint directory: /gpfs/scratch1/shared/lean-reinforcement/checkpoints
2026-01-16 17:23:09.838 | INFO     | lean_reinforcement.agent.value_head:load_checkpoint:192 - Checkpoint loaded from /gpfs/scratch1/shared/lean-reinforcement/checkpoints/value_head_guided_rollout_latest.pth
2026-01-16 17:23:09.839 | INFO     | lean_reinforcement.training.trainer:_setup_models:77 - Resuming training from epoch 2
2026-01-16 17:23:09.839 | INFO     | lean_reinforcement.training.trainer:_log_gpu_memory:122 - After model initialization - GPU Memory: 1.12GB allocated, 1.23GB reserved
2026-01-16 17:23:09.839 | INFO     | lean_reinforcement.training.trainer:_setup_data:87 - Loading data from 'leandojo_benchmark_4/novel_premises'
2026-01-16 17:23:09.840 | INFO     | lean_reinforcement.training.trainer:_setup_data:92 - Loading indexed corpus from /gpfs/scratch1/shared/lean-reinforcement/indexed_corpus/indexed_corpus.pkl
2026-01-16 17:24:08.643 | INFO     | lean_reinforcement.training.trainer:_start_workers:201 - Starting 16 workers
2026-01-16 17:24:08.670 | INFO     | lean_reinforcement.training.trainer:_run_epoch:151 - Starting Epoch 3/1
2026-01-16 17:24:08.734 | INFO     | lean_reinforcement.training.trainer:_run_epoch:162 - Processing 128 theorems with 16 workers.
2026-01-16 17:26:01.152 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: inf_eq_inf_iff_left
2026-01-16 17:26:01.397 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: sdiff_lt
2026-01-16 17:26:01.423 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:26:01.680 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:26:20.413 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Set.preimage_singleton_true
2026-01-16 17:26:20.711 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:26:37.677 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Mathlib.Meta.NormNum.isInt_add
2026-01-16 17:26:37.957 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:26:38.133 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: List.mem_iff_nthLe
2026-01-16 17:26:38.450 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:26:38.546 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Order.radical_nongenerating
2026-01-16 17:26:38.820 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:26:54.548 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Finset.sup_eq_sSup_image
2026-01-16 17:26:54.843 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:26:59.000 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Finset.support_prod_subset
2026-01-16 17:26:59.283 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:26:59.322 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Finset.sumLexLift_inr_inl
2026-01-16 17:26:59.608 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:27:00.920 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Finset.disjoint_Ioi_Iio
